[2026-09-23T10:55:27.559Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (10ms, 19331B)
[2026-09-23T10:55:27.559Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (11ms, 51671B)
[2026-09-23T10:55:27.586Z] GET http://192.168.178.24:8000/assets/images/stock/handshake-small.jpg → 200 (1ms, 122546B)
[2026-09-23T10:55:27.587Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (32ms, 48256B)
[2026-09-23T10:55:30.731Z] GET http://192.168.178.24:8000/assets/images/stock/hero-video.mp4 → 206 (9ms, ?B)
[2026-09-23T10:57:58.032Z] GET http://192.168.178.24:8000/assets/images/brand/blueprint.svg → 200 (22ms, 1921B)
[2026-09-23T10:57:58.032Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (29ms, 274633B)
[2026-09-23T10:57:58.525Z] GET http://192.168.178.24:8000/ → 200 (9ms, 71064B)
[2026-09-23T10:57:58.654Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (15ms, 59499B)
[2026-09-23T10:57:58.660Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (12ms, 51671B)
[2026-09-23T10:57:58.661Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (15ms, 162187B)
[2026-09-23T10:57:58.669Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (10ms, 19331B)
[2026-09-23T10:57:58.669Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (11ms, 51745B)
[2026-09-23T10:57:58.669Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (24ms, 107982B)
[2026-09-23T10:57:58.669Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (22ms, 78751B)
[2026-09-23T10:57:58.697Z] GET http://192.168.178.24:8000/assets/images/brand/blueprint.svg → 200 (?ms, 1921B)
[2026-09-23T10:57:58.697Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (27ms, 48256B)
[2026-09-23T10:57:58.717Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (3ms, 19331B)
[2026-09-23T10:57:58.717Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (4ms, 51745B)
